"id_reserva","codigo_reserva","fecha_reserva","fecha_checkin_programado","fecha_checkout_programado","adultos","ninos","infantes","monto_total_reserva","nombre_propiedad","tipo_propiedad","nombre_ciudad","nombre_pais","nombres","apellidos","email","telefono","nombre_segmento","nombre_motivo","tipo_habitacion","numero_habitacion","nombre_canal","nombre_estado","total_factura","monto_pago","nombre_metodo","total_servicio","nombre_servicio"
350,"RES000350","2025-01-14 10:00:00","2025-04-05","2025-04-08",1,0,0,411.60,"Resort Pacífico Jacó","Resort","Jacó","Costa Rica","Jorge","Flores","jorge.flores@mail.com","60001850","Turista","Vacaciones","Sencilla","208","Convenio Empresa","Completada",411.60,411.60,"Tarjeta Débito",44.07,"Estacionamiento"
539,"RES000539","2026-01-25 10:00:00","2026-04-25","2026-05-01",3,0,0,968.41,"Ecohotel Arenal","Ecohotel","La Fortuna","Costa Rica","Gabriela","Ortiz","gabriela.ortiz@mail.com","60006401","Turista","Vacaciones","Doble","315","Convenio Empresa","Completada",968.41,968.41,"Efectivo",15.82,"Lavandería"
539,"RES000539","2026-01-25 10:00:00","2026-04-25","2026-05-01",3,0,0,968.41,"Ecohotel Arenal","Ecohotel","La Fortuna","Costa Rica","Gabriela","Ortiz","gabriela.ortiz@mail.com","60006401","Turista","Vacaciones","Doble","315","Convenio Empresa","Completada",968.41,968.41,"Efectivo",47.46,"Restaurante"
539,"RES000539","2026-01-25 10:00:00","2026-04-25","2026-05-01",3,0,0,968.41,"Ecohotel Arenal","Ecohotel","La Fortuna","Costa Rica","Gabriela","Ortiz","gabriela.ortiz@mail.com","60006401","Turista","Vacaciones","Doble","315","Convenio Empresa","Completada",968.41,968.41,"Efectivo",206.79,"Spa"
758,"RES000758","2025-09-09 10:00:00","2025-10-18","2025-10-21",3,0,0,748.06,"Resort Pacífico Jacó","Resort","Jacó","Costa Rica","Andres","Perez","andres.perez@mail.com","60007622","Corporativo","Negocios","Suite","230","Expedia","Completada",748.06,748.06,"Efectivo",94.92,"Tour"
758,"RES000758","2025-09-09 10:00:00","2025-10-18","2025-10-21",3,0,0,748.06,"Resort Pacífico Jacó","Resort","Jacó","Costa Rica","Andres","Perez","andres.perez@mail.com","60007622","Corporativo","Negocios","Suite","230","Expedia","Completada",748.06,748.06,"Efectivo",63.28,"Traslado"
758,"RES000758","2025-09-09 10:00:00","2025-10-18","2025-10-21",3,0,0,748.06,"Resort Pacífico Jacó","Resort","Jacó","Costa Rica","Andres","Perez","andres.perez@mail.com","60007622","Corporativo","Negocios","Suite","230","Expedia","Completada",748.06,748.06,"Efectivo",44.07,"Estacionamiento"
874,"RES000874","2026-04-03 10:00:00","2026-06-07","2026-06-12",2,0,0,621.84,"Resort Pacífico Jacó","Resort","Jacó","Costa Rica","Miguel","Mendoza","miguel.mendoza@mail.com","60004366","Familiar","Visita Familiar","Doble","219","Walk In","Completada",621.84,621.84,"Tarjeta Débito",57.97,"Estacionamiento"
874,"RES000874","2026-04-03 10:00:00","2026-06-07","2026-06-12",2,0,0,621.84,"Resort Pacífico Jacó","Resort","Jacó","Costa Rica","Miguel","Mendoza","miguel.mendoza@mail.com","60004366","Familiar","Visita Familiar","Doble","219","Walk In","Completada",621.84,621.84,"Tarjeta Débito",15.82,"Lavandería"
278,"RES000278","2026-07-16 10:00:00","2026-07-25","2026-07-28",3,0,0,741.73,"Resort Pacífico Jacó","Resort","Jacó","Costa Rica","Andres","Perez","andres.perez@mail.com","60005402","Corporativo","Negocios","Suite","230","Call Center","Completada",741.73,741.73,"Tarjeta Crédito",94.92,"Tour"
278,"RES000278","2026-07-16 10:00:00","2026-07-25","2026-07-28",3,0,0,741.73,"Resort Pacífico Jacó","Resort","Jacó","Costa Rica","Andres","Perez","andres.perez@mail.com","60005402","Corporativo","Negocios","Suite","230","Call Center","Completada",741.73,741.73,"Tarjeta Crédito",56.95,"Traslado"
278,"RES000278","2026-07-16 10:00:00","2026-07-25","2026-07-28",3,0,0,741.73,"Resort Pacífico Jacó","Resort","Jacó","Costa Rica","Andres","Perez","andres.perez@mail.com","60005402","Corporativo","Negocios","Suite","230","Call Center","Completada",741.73,741.73,"Tarjeta Crédito",44.07,"Estacionamiento"
176,"RES000176","2025-10-21 10:00:00","2026-01-16","2026-01-19",3,1,0,483.64,"Boutique Manuel Antonio","Boutique","Manuel Antonio","Costa Rica","Fernando","Morales","fernando.morales@mail.com","60001184","Turista","Vacaciones","Sencilla","404","Booking","Completada",483.64,483.64,"Convenio Empresa",88.14,"Tour"
176,"RES000176","2025-10-21 10:00:00","2026-01-16","2026-01-19",3,1,0,483.64,"Boutique Manuel Antonio","Boutique","Manuel Antonio","Costa Rica","Fernando","Morales","fernando.morales@mail.com","60001184","Turista","Vacaciones","Sencilla","404","Booking","Completada",483.64,483.64,"Convenio Empresa",76.84,"Traslado"
176,"RES000176","2025-10-21 10:00:00","2026-01-16","2026-01-19",3,1,0,483.64,"Boutique Manuel Antonio","Boutique","Manuel Antonio","Costa Rica","Fernando","Morales","fernando.morales@mail.com","60001184","Turista","Vacaciones","Sencilla","404","Booking","Completada",483.64,483.64,"Convenio Empresa",64.41,"Estacionamiento"
576,"RES000576","2026-06-08 10:00:00","2026-07-15","2026-07-16",3,2,1,158.31,"Boutique Manuel Antonio","Boutique","Manuel Antonio","Costa Rica","Fernando","Morales","fernando.morales@mail.com","60004884","Turista","Vacaciones","Doble","424","Expedia","Completada",158.31,158.31,"Convenio Empresa",47.46,"Restaurante"
292,"RES000292","2026-08-13 10:00:00","2026-09-05","2026-09-10",1,1,0,1064.46,"Boutique Manuel Antonio","Boutique","Manuel Antonio","Costa Rica","Jose","Martinez","jose.martinez@mail.com","60009028","Turista","Vacaciones","Suite","433","Call Center","Completada",1064.46,1064.46,"Tarjeta Crédito",44.07,"Estacionamiento"
292,"RES000292","2026-08-13 10:00:00","2026-09-05","2026-09-10",1,1,0,1064.46,"Boutique Manuel Antonio","Boutique","Manuel Antonio","Costa Rica","Jose","Martinez","jose.martinez@mail.com","60009028","Turista","Vacaciones","Suite","433","Call Center","Completada",1064.46,1064.46,"Tarjeta Crédito",20.34,"Lavandería"
770,"RES000770","2025-09-21 10:00:00","2025-11-11","2025-11-14",1,0,0,720.77,"Resort Pacífico Jacó","Resort","Jacó","Costa Rica","Jorge","Flores","jorge.flores@mail.com","60000730","Turista","Vacaciones","Suite","233","Convenio Empresa","Completada",720.77,720.77,"Transferencia",94.92,"Tour"
770,"RES000770","2025-09-21 10:00:00","2025-11-11","2025-11-14",1,0,0,720.77,"Resort Pacífico Jacó","Resort","Jacó","Costa Rica","Jorge","Flores","jorge.flores@mail.com","60000730","Turista","Vacaciones","Suite","233","Convenio Empresa","Completada",720.77,720.77,"Transferencia",63.28,"Traslado"
770,"RES000770","2025-09-21 10:00:00","2025-11-11","2025-11-14",1,0,0,720.77,"Resort Pacífico Jacó","Resort","Jacó","Costa Rica","Jorge","Flores","jorge.flores@mail.com","60000730","Turista","Vacaciones","Suite","233","Convenio Empresa","Completada",720.77,720.77,"Transferencia",44.07,"Estacionamiento"
271,"RES000271","2026-07-16 10:00:00","2026-07-18","2026-07-20",1,0,0,647.72,"Ecohotel Arenal","Ecohotel","La Fortuna","Costa Rica","Elena","Navarro","elena.navarro@mail.com","60003589","Familiar","Visita Familiar","Suite","328","Call Center","Completada",647.72,647.72,"Convenio Empresa",186.45,"Spa"
271,"RES000271","2026-07-16 10:00:00","2026-07-18","2026-07-20",1,0,0,647.72,"Ecohotel Arenal","Ecohotel","La Fortuna","Costa Rica","Elena","Navarro","elena.navarro@mail.com","60003589","Familiar","Visita Familiar","Suite","328","Call Center","Completada",647.72,647.72,"Convenio Empresa",79.33,"Tour"
417,"RES000417","2025-06-13 10:00:00","2025-08-10","2025-08-14",3,0,0,488.16,"Hotel Central San José","Urbano","San José","Costa Rica","Lucia","Silva","lucia.silva@mail.com","60008103","Grupo","Evento","Doble","125","Agencia Mayorista","Completada",488.16,488.16,"Tarjeta Débito",76.84,"Traslado"
556,"RES000556","2026-05-19 10:00:00","2026-06-05","2026-06-10",3,1,0,682.52,"Boutique Manuel Antonio","Boutique","Manuel Antonio","Costa Rica","Fernando","Morales","fernando.morales@mail.com","60000804","Turista","Vacaciones","Doble","419","Web Directa","Completada",682.52,682.52,"Transferencia",44.07,"Estacionamiento"
556,"RES000556","2026-05-19 10:00:00","2026-06-05","2026-06-10",3,1,0,682.52,"Boutique Manuel Antonio","Boutique","Manuel Antonio","Costa Rica","Fernando","Morales","fernando.morales@mail.com","60000804","Turista","Vacaciones","Doble","419","Web Directa","Completada",682.52,682.52,"Transferencia",22.60,"Lavandería"
529,"RES000529","2026-01-01 10:00:00","2026-03-22","2026-03-24",3,0,0,507.37,"Hotel Central San José","Urbano","San José","Costa Rica","Maria","Lopez","maria.lopez@mail.com","60003811","Turista","Vacaciones","Doble","113","Agencia Mayorista","Completada",507.37,507.37,"Efectivo",206.79,"Spa"
529,"RES000529","2026-01-01 10:00:00","2026-03-22","2026-03-24",3,0,0,507.37,"Hotel Central San José","Urbano","San José","Costa Rica","Maria","Lopez","maria.lopez@mail.com","60003811","Turista","Vacaciones","Doble","113","Agencia Mayorista","Completada",507.37,507.37,"Efectivo",94.92,"Tour"
638,"RES000638","2025-02-11 10:00:00","2025-02-20","2025-02-23",3,0,0,880.27,"Resort Pacífico Jacó","Resort","Jacó","Costa Rica","Andres","Perez","andres.perez@mail.com","60009842","Corporativo","Negocios","Familiar","240","Booking","Completada",880.27,880.27,"Convenio Empresa",94.92,"Tour"
638,"RES000638","2025-02-11 10:00:00","2025-02-20","2025-02-23",3,0,0,880.27,"Resort Pacífico Jacó","Resort","Jacó","Costa Rica","Andres","Perez","andres.perez@mail.com","60009842","Corporativo","Negocios","Familiar","240","Booking","Completada",880.27,880.27,"Convenio Empresa",63.28,"Traslado"
638,"RES000638","2025-02-11 10:00:00","2025-02-20","2025-02-23",3,0,0,880.27,"Resort Pacífico Jacó","Resort","Jacó","Costa Rica","Andres","Perez","andres.perez@mail.com","60009842","Corporativo","Negocios","Familiar","240","Booking","Completada",880.27,880.27,"Convenio Empresa",44.07,"Estacionamiento"
791,"RES000791","2025-10-19 10:00:00","2025-12-30","2026-01-05",1,0,0,1693.87,"Ecohotel Arenal","Ecohotel","La Fortuna","Costa Rica","Elena","Navarro","elena.navarro@mail.com","60005069","Familiar","Visita Familiar","Familiar","338","Convenio Empresa","Completada",1693.87,1693.87,"Efectivo",15.82,"Lavandería"
791,"RES000791","2025-10-19 10:00:00","2025-12-30","2026-01-05",1,0,0,1693.87,"Ecohotel Arenal","Ecohotel","La Fortuna","Costa Rica","Elena","Navarro","elena.navarro@mail.com","60005069","Familiar","Visita Familiar","Familiar","338","Convenio Empresa","Completada",1693.87,1693.87,"Efectivo",47.46,"Restaurante"
791,"RES000791","2025-10-19 10:00:00","2025-12-30","2026-01-05",1,0,0,1693.87,"Ecohotel Arenal","Ecohotel","La Fortuna","Costa Rica","Elena","Navarro","elena.navarro@mail.com","60005069","Familiar","Visita Familiar","Familiar","338","Convenio Empresa","Completada",1693.87,1693.87,"Efectivo",206.79,"Spa"
775,"RES000775","2025-10-03 10:00:00","2025-11-28","2025-11-30",2,0,0,628.62,"Ecohotel Arenal","Ecohotel","La Fortuna","Costa Rica","Laura","Hernandez","laura.hernandez@mail.com","60000925","Corporativo","Negocios","Suite","334","Call Center","Completada",628.62,628.62,"Transferencia",186.45,"Spa"
775,"RES000775","2025-10-03 10:00:00","2025-11-28","2025-11-30",2,0,0,628.62,"Ecohotel Arenal","Ecohotel","La Fortuna","Costa Rica","Laura","Hernandez","laura.hernandez@mail.com","60000925","Corporativo","Negocios","Suite","334","Call Center","Completada",628.62,628.62,"Transferencia",79.33,"Tour"
390,"RES000390","2025-05-24 10:00:00","2025-06-24","2025-06-25",1,2,0,154.19,"Resort Pacífico Jacó","Resort","Jacó","Costa Rica","Jorge","Flores","jorge.flores@mail.com","60001110","Turista","Vacaciones","Doble","218","Call Center","Completada",154.19,154.19,"Convenio Empresa",61.02,"Restaurante"
173,"RES000173","2025-09-27 10:00:00","2025-12-20","2025-12-26",2,0,0,670.77,"Hotel Central San José","Urbano","San José","Costa Rica","Camila","Rivera","camila.rivera@mail.com","60000407","Turista","Vacaciones","Sencilla","104","Call Center","Completada",670.77,670.77,"Tarjeta Crédito",22.60,"Lavandería"
173,"RES000173","2025-09-27 10:00:00","2025-12-20","2025-12-26",2,0,0,670.77,"Hotel Central San José","Urbano","San José","Costa Rica","Camila","Rivera","camila.rivera@mail.com","60000407","Turista","Vacaciones","Sencilla","104","Call Center","Completada",670.77,670.77,"Tarjeta Crédito",54.92,"Restaurante"
173,"RES000173","2025-09-27 10:00:00","2025-12-20","2025-12-26",2,0,0,670.77,"Hotel Central San José","Urbano","San José","Costa Rica","Camila","Rivera","camila.rivera@mail.com","60000407","Turista","Vacaciones","Sencilla","104","Call Center","Completada",670.77,670.77,"Tarjeta Crédito",186.45,"Spa"
189,"RES000189","2026-01-11 10:00:00","2026-01-21","2026-01-25",3,0,0,320.92,"Hotel Central San José","Urbano","San José","Costa Rica","Maria","Lopez","maria.lopez@mail.com","60004551","Turista","Vacaciones","Sencilla","108","Convenio Empresa","Completada",320.92,320.92,"Transferencia",76.84,"Traslado"
876,"RES000876","2026-04-19 10:00:00","2026-06-25","2026-06-26",3,2,1,170.63,"Boutique Manuel Antonio","Boutique","Manuel Antonio","Costa Rica","Fernando","Morales","fernando.morales@mail.com","60004884","Turista","Vacaciones","Doble","419","Booking","Completada",170.63,170.63,"Convenio Empresa",47.46,"Restaurante"
113,"RES000113","2025-07-29 10:00:00","2025-08-22","2025-08-28",2,0,0,1307.41,"Hotel Central San José","Urbano","San José","Costa Rica","Camila","Rivera","camila.rivera@mail.com","60007067","Turista","Vacaciones","Suite","129","Booking","Completada",1307.41,1307.41,"Transferencia",22.60,"Lavandería"
113,"RES000113","2025-07-29 10:00:00","2025-08-22","2025-08-28",2,0,0,1307.41,"Hotel Central San José","Urbano","San José","Costa Rica","Camila","Rivera","camila.rivera@mail.com","60007067","Turista","Vacaciones","Suite","129","Booking","Completada",1307.41,1307.41,"Transferencia",61.02,"Restaurante"
113,"RES000113","2025-07-29 10:00:00","2025-08-22","2025-08-28",2,0,0,1307.41,"Hotel Central San José","Urbano","San José","Costa Rica","Camila","Rivera","camila.rivera@mail.com","60007067","Turista","Vacaciones","Suite","129","Booking","Completada",1307.41,1307.41,"Transferencia",186.45,"Spa"
632,"RES000632","2025-02-19 10:00:00","2025-02-22","2025-02-25",1,1,0,975.19,"Boutique Manuel Antonio","Boutique","Manuel Antonio","Costa Rica","Jose","Martinez","jose.martinez@mail.com","60008288","Turista","Vacaciones","Familiar","438","Expedia","Completada",975.19,975.19,"Transferencia",88.14,"Tour"
632,"RES000632","2025-02-19 10:00:00","2025-02-22","2025-02-25",1,1,0,975.19,"Boutique Manuel Antonio","Boutique","Manuel Antonio","Costa Rica","Jose","Martinez","jose.martinez@mail.com","60008288","Turista","Vacaciones","Familiar","438","Expedia","Completada",975.19,975.19,"Transferencia",76.84,"Traslado"
632,"RES000632","2025-02-19 10:00:00","2025-02-22","2025-02-25",1,1,0,975.19,"Boutique Manuel Antonio","Boutique","Manuel Antonio","Costa Rica","Jose","Martinez","jose.martinez@mail.com","60008288","Turista","Vacaciones","Familiar","438","Expedia","Completada",975.19,975.19,"Transferencia",64.41,"Estacionamiento"
658,"RES000658","2025-03-03 10:00:00","2025-04-01","2025-04-06",3,0,0,447.48,"Resort Pacífico Jacó","Resort","Jacó","Costa Rica","Andres","Perez","andres.perez@mail.com","60003922","Corporativo","Negocios","Sencilla","205","Convenio Empresa","Completada",447.48,447.48,"Efectivo",64.41,"Estacionamiento"
658,"RES000658","2025-03-03 10:00:00","2025-04-01","2025-04-06",3,0,0,447.48,"Resort Pacífico Jacó","Resort","Jacó","Costa Rica","Andres","Perez","andres.perez@mail.com","60003922","Corporativo","Negocios","Sencilla","205","Convenio Empresa","Completada",447.48,447.48,"Efectivo",15.82,"Lavandería"
120,"RES000120","2025-08-26 10:00:00","2025-09-26","2025-09-27",1,2,1,217.47,"Boutique Manuel Antonio","Boutique","Manuel Antonio","Costa Rica","Carlos","Rodriguez","carlos.rodriguez@mail.com","60008880","Turista","Vacaciones","Suite","430","Booking","Completada",217.47,217.47,"Efectivo",47.46,"Restaurante"
578,"RES000578","2026-05-27 10:00:00","2026-07-05","2026-07-08",3,0,0,526.69,"Resort Pacífico Jacó","Resort","Jacó","Costa Rica","Andres","Perez","andres.perez@mail.com","60005402","Corporativo","Negocios","Doble","225","Agencia Mayorista","Completada",526.69,526.69,"Tarjeta Crédito",94.92,"Tour"
578,"RES000578","2026-05-27 10:00:00","2026-07-05","2026-07-08",3,0,0,526.69,"Resort Pacífico Jacó","Resort","Jacó","Costa Rica","Andres","Perez","andres.perez@mail.com","60005402","Corporativo","Negocios","Doble","225","Agencia Mayorista","Completada",526.69,526.69,"Tarjeta Crédito",63.28,"Traslado"
578,"RES000578","2026-05-27 10:00:00","2026-07-05","2026-07-08",3,0,0,526.69,"Resort Pacífico Jacó","Resort","Jacó","Costa Rica","Andres","Perez","andres.perez@mail.com","60005402","Corporativo","Negocios","Doble","225","Agencia Mayorista","Completada",526.69,526.69,"Tarjeta Crédito",39.66,"Estacionamiento"
815,"RES000815","2026-02-10 10:00:00","2026-02-16","2026-02-22",2,0,0,720.94,"Ecohotel Arenal","Ecohotel","La Fortuna","Costa Rica","Laura","Hernandez","laura.hernandez@mail.com","60000185","Corporativo","Negocios","Sencilla","304","Web Directa","Completada",720.94,720.94,"Efectivo",15.82,"Lavandería"
815,"RES000815","2026-02-10 10:00:00","2026-02-16","2026-02-22",2,0,0,720.94,"Ecohotel Arenal","Ecohotel","La Fortuna","Costa Rica","Laura","Hernandez","laura.hernandez@mail.com","60000185","Corporativo","Negocios","Sencilla","304","Web Directa","Completada",720.94,720.94,"Efectivo",47.46,"Restaurante"
815,"RES000815","2026-02-10 10:00:00","2026-02-16","2026-02-22",2,0,0,720.94,"Ecohotel Arenal","Ecohotel","La Fortuna","Costa Rica","Laura","Hernandez","laura.hernandez@mail.com","60000185","Corporativo","Negocios","Sencilla","304","Web Directa","Completada",720.94,720.94,"Efectivo",206.79,"Spa"
695,"RES000695","2025-04-16 10:00:00","2025-06-21","2025-06-27",2,0,0,933.49,"Ecohotel Arenal","Ecohotel","La Fortuna","Costa Rica","Laura","Hernandez","laura.hernandez@mail.com","60002405","Corporativo","Negocios","Doble","314","Expedia","Completada",933.49,933.49,"Convenio Empresa",15.82,"Lavandería"
695,"RES000695","2025-04-16 10:00:00","2025-06-21","2025-06-27",2,0,0,933.49,"Ecohotel Arenal","Ecohotel","La Fortuna","Costa Rica","Laura","Hernandez","laura.hernandez@mail.com","60002405","Corporativo","Negocios","Doble","314","Expedia","Completada",933.49,933.49,"Convenio Empresa",47.46,"Restaurante"
695,"RES000695","2025-04-16 10:00:00","2025-06-21","2025-06-27",2,0,0,933.49,"Ecohotel Arenal","Ecohotel","La Fortuna","Costa Rica","Laura","Hernandez","laura.hernandez@mail.com","60002405","Corporativo","Negocios","Doble","314","Expedia","Completada",933.49,933.49,"Convenio Empresa",206.79,"Spa"
440,"RES000440","2025-07-27 10:00:00","2025-10-16","2025-10-19",1,1,0,790.61,"Boutique Manuel Antonio","Boutique","Manuel Antonio","Costa Rica","Carlos","Rodriguez","carlos.rodriguez@mail.com","60002960","Turista","Vacaciones","Suite","430","Walk In","Completada",790.61,790.61,"Tarjeta Crédito",79.33,"Tour"
440,"RES000440","2025-07-27 10:00:00","2025-10-16","2025-10-19",1,1,0,790.61,"Boutique Manuel Antonio","Boutique","Manuel Antonio","Costa Rica","Carlos","Rodriguez","carlos.rodriguez@mail.com","60002960","Turista","Vacaciones","Suite","430","Walk In","Completada",790.61,790.61,"Tarjeta Crédito",76.84,"Traslado"
440,"RES000440","2025-07-27 10:00:00","2025-10-16","2025-10-19",1,1,0,790.61,"Boutique Manuel Antonio","Boutique","Manuel Antonio","Costa Rica","Carlos","Rodriguez","carlos.rodriguez@mail.com","60002960","Turista","Vacaciones","Suite","430","Walk In","Completada",790.61,790.61,"Tarjeta Crédito",64.41,"Estacionamiento"
794,"RES000794","2025-10-15 10:00:00","2025-12-29","2026-01-01",2,0,0,880.27,"Resort Pacífico Jacó","Resort","Jacó","Costa Rica","Miguel","Mendoza","miguel.mendoza@mail.com","60005846","Familiar","Visita Familiar","Familiar","239","Web Directa","Completada",880.27,880.27,"Transferencia",94.92,"Tour"
794,"RES000794","2025-10-15 10:00:00","2025-12-29","2026-01-01",2,0,0,880.27,"Resort Pacífico Jacó","Resort","Jacó","Costa Rica","Miguel","Mendoza","miguel.mendoza@mail.com","60005846","Familiar","Visita Familiar","Familiar","239","Web Directa","Completada",880.27,880.27,"Transferencia",63.28,"Traslado"
794,"RES000794","2025-10-15 10:00:00","2025-12-29","2026-01-01",2,0,0,880.27,"Resort Pacífico Jacó","Resort","Jacó","Costa Rica","Miguel","Mendoza","miguel.mendoza@mail.com","60005846","Familiar","Visita Familiar","Familiar","239","Web Directa","Completada",880.27,880.27,"Transferencia",44.07,"Estacionamiento"
57,"RES000057","2025-03-05 10:00:00","2025-05-02","2025-05-06",3,0,0,488.16,"Hotel Central San José","Urbano","San José","Costa Rica","Lucia","Silva","lucia.silva@mail.com","60003663","Grupo","Evento","Doble","115","Booking","Completada",488.16,488.16,"Convenio Empresa",76.84,"Traslado"
19,"RES000019","2025-02-09 10:00:00","2025-03-01","2025-03-03",3,0,0,423.98,"Ecohotel Arenal","Ecohotel","La Fortuna","Costa Rica","Gabriela","Ortiz","gabriela.ortiz@mail.com","60004921","Turista","Vacaciones","Sencilla","305","Call Center","Completada",423.98,423.98,"Convenio Empresa",186.45,"Spa"
19,"RES000019","2025-02-09 10:00:00","2025-03-01","2025-03-03",3,0,0,423.98,"Ecohotel Arenal","Ecohotel","La Fortuna","Costa Rica","Gabriela","Ortiz","gabriela.ortiz@mail.com","60004921","Turista","Vacaciones","Sencilla","305","Call Center","Completada",423.98,423.98,"Convenio Empresa",79.33,"Tour"
160,"RES000160","2025-10-05 10:00:00","2025-12-15","2025-12-20",1,1,0,1243.11,"Boutique Manuel Antonio","Boutique","Manuel Antonio","Costa Rica","Carlos","Rodriguez","carlos.rodriguez@mail.com","60008140","Turista","Vacaciones","Familiar","440","Walk In","Completada",1243.11,1243.11,"Tarjeta Débito",39.66,"Estacionamiento"
160,"RES000160","2025-10-05 10:00:00","2025-12-15","2025-12-20",1,1,0,1243.11,"Boutique Manuel Antonio","Boutique","Manuel Antonio","Costa Rica","Carlos","Rodriguez","carlos.rodriguez@mail.com","60008140","Turista","Vacaciones","Familiar","440","Walk In","Completada",1243.11,1243.11,"Tarjeta Débito",22.60,"Lavandería"
508,"RES000508","2026-01-01 10:00:00","2026-03-01","2026-03-06",3,1,0,490.42,"Boutique Manuel Antonio","Boutique","Manuel Antonio","Costa Rica","Ricardo","Rojas","ricardo.rojas@mail.com","60009472","Corporativo","Negocios","Sencilla","407","Agencia Mayorista","Completada",490.42,490.42,"Transferencia",44.07,"Estacionamiento"
508,"RES000508","2026-01-01 10:00:00","2026-03-01","2026-03-06",3,1,0,490.42,"Boutique Manuel Antonio","Boutique","Manuel Antonio","Costa Rica","Ricardo","Rojas","ricardo.rojas@mail.com","60009472","Corporativo","Negocios","Sencilla","407","Agencia Mayorista","Completada",490.42,490.42,"Transferencia",22.60,"Lavandería"
357,"RES000357","2025-01-14 10:00:00","2025-04-12","2025-04-16",3,0,0,348.04,"Hotel Central San José","Urbano","San José","Costa Rica","Lucia","Silva","lucia.silva@mail.com","60003663","Grupo","Evento","Sencilla","110","Convenio Empresa","Completada",348.04,348.04,"Convenio Empresa",76.84,"Traslado"
